date,Tmax,Tmin,Tavg,,,,,,Prcp
9/21/2024,33.8,27,29.5,,,,,,0
9/22/2024,34,27,29.6,,,,,,0
9/23/2024,34,27,29.8,,,,,,0
9/24/2024,34.2,28,30.1,,,,,,0
9/25/2024,34,27,29.9,,,,,,0
9/26/2024,35,28,30.4,,,,,,0
9/27/2024,35,28,30.3,,,,,,0
9/28/2024,33.1,27.5,29.9,,,,,,0
9/29/2024,34.6,27,29.7,,,,,,0
9/30/2024,35,27,30.2,,,,,,0
10/1/2024,34.4,27,30.1,,,,,,0
10/2/2024,35,28,30.1,,,,,,0
10/3/2024,34,28,29.9,,,,,,0
10/4/2024,33,28,29.4,,,,,,0
10/5/2024,32,27,29.3,,,,,,0
10/6/2024,33.4,27,29.6,,,,,,0.1
10/7/2024,37,25,30.4,,,,,,0
10/8/2024,38,24,31.4,,,,,,0
10/9/2024,39,26,32.2,,,,,,0
10/10/2024,39,25,30.3,,,,,,0
10/11/2024,38.2,25,30.6,,,,,,0
10/12/2024,38,24,30.4,,,,,,0
10/13/2024,36.1,25,30.3,,,,,,0
10/14/2024,34.2,27,30.1,,,,,,0.1
10/15/2024,38,28,31.9,,,,,,0
10/16/2024,37,27,31.3,,,,,,0
10/17/2024,37,28,30.8,,,,,,0
10/18/2024,36.4,25,30.5,,,,,,0
10/19/2024,38.4,26,31.6,,,,,,0
10/20/2024,38,26,31.4,,,,,,0
10/21/2024,37,27,30.5,,,,,,0
10/22/2024,37.4,25,30.1,,,,,,0
10/23/2024,37,24,30.3,,,,,,0
10/24/2024,38.6,22,30,,,,,,0
10/25/2024,39,22,31.1,,,,,,0
10/26/2024,39,27,31.4,,,,,,0
10/27/2024,39,23,30.3,,,,,,0
10/28/2024,37,26,30.3,,,,,,0
10/29/2024,34.2,25,29.2,,,,,,0
10/30/2024,34,25,29,,,,,,0
10/31/2024,35,24,28.9,,,,,,0
11/1/2024,37,25,30.1,,,,,,0
11/2/2024,35,24,29.1,,,,,,0
11/3/2024,34,23,28.1,,,,,,0
11/4/2024,35,23,28.5,,,,,,0
11/5/2024,35,22,28.2,,,,,,0
11/6/2024,35.6,21,28.1,,,,,,0
11/7/2024,34,21,28,,,,,,0
11/8/2024,33.2,25,28.5,,,,,,0
11/9/2024,34,24,28.2,,,,,,0
11/10/2024,33,22,27.4,,,,,,0
11/11/2024,33,24,27.9,,,,,,0
11/12/2024,32,22,27.2,,,,,,0
11/13/2024,33,22,27.5,,,,,,0
11/14/2024,33.2,21,26.6,,,,,,0
11/15/2024,33,19,26.1,,,,,,0
11/16/2024,33,20,26.3,,,,,,0
11/17/2024,33,22,26.6,,,,,,0
11/18/2024,33,21,26.2,,,,,,0
11/19/2024,32,20,25.7,,,,,,0
11/20/2024,31,19,25.1,,,,,,0
11/21/2024,32,19,25.3,,,,,,0
11/22/2024,32,20,25.7,,,,,,0
11/23/2024,31,20,25.8,,,,,,0
11/24/2024,32,21,25.7,,,,,,0
11/25/2024,32,18,24.8,,,,,,0
11/26/2024,32,18,24.9,,,,,,0
11/27/2024,31.2,19,25.1,,,,,,0
11/28/2024,30.4,20,25,,,,,,0
11/29/2024,31.4,20,25.2,,,,,,0
11/30/2024,31,19,24.9,,,,,,0
12/1/2024,31,16,23.5,,,,,,0
12/2/2024,31,16,23.3,,,,,,0
12/3/2024,30,19,23.5,,,,,,0
12/4/2024,30,20,24.3,,,,,,0
12/5/2024,29,15,22.1,,,,,,0
12/6/2024,30,16,22.1,,,,,,0
12/7/2024,30,13,21,,,,,,0
12/8/2024,29,11,20.3,,,,,,0
12/9/2024,27,9,18.3,,,,,,0
12/10/2024,26,10,17.2,,,,,,0
12/11/2024,25.1,10,18.2,,,,,,0
12/12/2024,25.2,15.2,19.7,,,,,,0
12/13/2024,25.2,15.4,19.5,,,,,,0
12/14/2024,25.9,15.1,19.9,,,,,,0
12/15/2024,26.3,15.8,20.2,,,,,,0
12/16/2024,27.6,18.1,21.7,,,,,,0
12/17/2024,27.3,17.2,21.7,,,,,,0
12/18/2024,27.8,17.4,21.6,,,,,,0
12/19/2024,26.8,17.3,20.9,,,,,,0
12/20/2024,26.7,16.9,20.7,,,,,,0
12/21/2024,26.6,17.7,21,,,,,,0
12/22/2024,27.9,18.4,22.2,,,,,,0
12/23/2024,27.2,17.2,21.5,,,,,,0
12/24/2024,26.9,17,20.8,,,,,,0
12/25/2024,26.7,16.9,20.7,,,,,,0
